Peer,KPI,vendor,value
Business Software Generalists,Implementer Support,IBM Plan. Analytics,8.390646492
Business Software Generalists,Implementer Support,InfoZoom,8.245804677
Business Software Generalists,Implementer Support,Logi Analytics ,6.266299862
Business Software Generalists,Implementer Support,Looker,8.543111562
Business Software Generalists,Implementer Support,Microsoft Excel,3.924690509
Business Software Generalists,Implementer Support,Microsoft Power BI,5.24661348
Business Software Generalists,Implementer Support,Oracle Analytics Cloud,8.917344004
Business Software Generalists,Implementer Support,SAP Analytics Cloud,5.367860774
Business Software Generalists,Implementer Support,SAP BO BI,4.652793185
Business Software Generalists,Implementer Support,Serviceware Perf.,10
Business Software Generalists,Implementer Support,Tableau,4.528198074
Business Software Generalists,Implementer Support,Zoho Analytics,1
Business Software Generalists,Implementer Support,Peer Group Average,6.038684226
Business Software Generalists,Product Satisfaction,IBM Cog. Analytics,1
Business Software Generalists,Product Satisfaction,IBM Plan. Analytics,8.493542421
Business Software Generalists,Product Satisfaction,InfoZoom,9.813686026
Business Software Generalists,Product Satisfaction,Logi Analytics ,5.192242866
Business Software Generalists,Product Satisfaction,Looker,6.987924094
Business Software Generalists,Product Satisfaction,Microsoft Excel,2.409194388
Business Software Generalists,Product Satisfaction,Microsoft Power BI,5.839958309
Business Software Generalists,Product Satisfaction,Oracle Analytics Cloud,5.192242866
Business Software Generalists,Product Satisfaction,SAP Analytics Cloud,4.977761087
Business Software Generalists,Product Satisfaction,SAP BO BI,3.94479586
Business Software Generalists,Product Satisfaction,Serviceware Perf.,6.23624358
Business Software Generalists,Product Satisfaction,Tableau,5.85027968
Business Software Generalists,Product Satisfaction,Zoho Analytics,6.103672061
Business Software Generalists,Product Satisfaction,Peer Group Average,5.541657172
Business Software Generalists,Customer Satisfaction,IBM Cog. Analytics,1.792727118
Business Software Generalists,Customer Satisfaction,IBM Plan. Analytics,6.881648633
Business Software Generalists,Customer Satisfaction,InfoZoom,8.65852808
Business Software Generalists,Customer Satisfaction,Logi Analytics ,5.829055333
Business Software Generalists,Customer Satisfaction,Looker,7.794724119
Business Software Generalists,Customer Satisfaction,Microsoft Excel,3.059846603
Business Software Generalists,Customer Satisfaction,Microsoft Power BI,5.247414784
Business Software Generalists,Customer Satisfaction,Oracle Analytics Cloud,7.127116295
Business Software Generalists,Customer Satisfaction,SAP Analytics Cloud,4.015076253
Business Software Generalists,Customer Satisfaction,SAP BO BI,3.010254602
Business Software Generalists,Customer Satisfaction,Serviceware Perf.,7.963076821
Business Software Generalists,Customer Satisfaction,Tableau,3.712520098
Business Software Generalists,Customer Satisfaction,Zoho Analytics,4.347346792
Business Software Generalists,Customer Satisfaction,Peer Group Average,5.341487349
Business Software Generalists,Dashboards,IBM Cog. Analytics,4.325260904
Business Software Generalists,Dashboards,IBM Plan. Analytics,5.458255285
Business Software Generalists,Dashboards,InfoZoom,7.319603196
Business Software Generalists,Dashboards,Logi Analytics ,8.76933369
Business Software Generalists,Dashboards,Looker,6.30800107
Business Software Generalists,Dashboards,Microsoft Excel,1
Business Software Generalists,Dashboards,Microsoft Power BI,7.975426762
Business Software Generalists,Dashboards,Oracle Analytics Cloud,5.018731603
Business Software Generalists,Dashboards,SAP Analytics Cloud,6.793570091
Business Software Generalists,Dashboards,SAP BO BI,3.6209671
Business Software Generalists,Dashboards,Serviceware Perf.,5.721969494
Business Software Generalists,Dashboards,Tableau,8.216660834
Business Software Generalists,Dashboards,Zoho Analytics,6.820546147
Business Software Generalists,Dashboards,Peer Group Average,5.949871244
Business Software Generalists,Distribution of Reports,IBM Cog. Analytics,6.738495575
Business Software Generalists,Distribution of Reports,IBM Plan. Analytics,4.472800625
Business Software Generalists,Distribution of Reports,InfoZoom,6.868204804
Business Software Generalists,Distribution of Reports,Logi Analytics ,8.737335978
Business Software Generalists,Distribution of Reports,Looker,7.12079646
Business Software Generalists,Distribution of Reports,Microsoft Excel,1
Business Software Generalists,Distribution of Reports,Microsoft Power BI,5.761132405
Business Software Generalists,Distribution of Reports,Oracle Analytics Cloud,8.045239548
Business Software Generalists,Distribution of Reports,SAP Analytics Cloud,3.951562794
Business Software Generalists,Distribution of Reports,SAP BO BI,3.211253289
Business Software Generalists,Distribution of Reports,Serviceware Perf.,3.60840708
Business Software Generalists,Distribution of Reports,Tableau,6.777180784
Business Software Generalists,Distribution of Reports,Zoho Analytics,7.528128951
Business Software Generalists,Distribution of Reports,Peer Group Average,5.678502946
Business Software Generalists,Analyses & Ad Hoc Query,IBM Cog. Analytics,4.941052632
Business Software Generalists,Analyses & Ad Hoc Query,IBM Plan. Analytics,8.773834586
Business Software Generalists,Analyses & Ad Hoc Query,InfoZoom,9.821542228
Business Software Generalists,Analyses & Ad Hoc Query,Logi Analytics ,3.706766917
Business Software Generalists,Analyses & Ad Hoc Query,Looker,5.736842105
Business Software Generalists,Analyses & Ad Hoc Query,Microsoft Excel,4.227586207
Business Software Generalists,Analyses & Ad Hoc Query,Microsoft Power BI,6.939588101
Business Software Generalists,Analyses & Ad Hoc Query,Oracle Analytics Cloud,8.452631579
Business Software Generalists,Analyses & Ad Hoc Query,SAP Analytics Cloud,5.141982864
Business Software Generalists,Analyses & Ad Hoc Query,SAP BO BI,6.691789474
Business Software Generalists,Analyses & Ad Hoc Query,Serviceware Perf.,9.634586466
Business Software Generalists,Analyses & Ad Hoc Query,Tableau,6.22406015
Business Software Generalists,Analyses & Ad Hoc Query,Zoho Analytics,7.0033241
Business Software Generalists,Analyses & Ad Hoc Query,Peer Group Average,6.715045185
Business Software Generalists,Advanced Analytics,IBM Cog. Analytics,3.855659847
Business Software Generalists,Advanced Analytics,IBM Plan. Analytics,5.536745567
Business Software Generalists,Advanced Analytics,Logi Analytics ,3.928465235
Business Software Generalists,Advanced Analytics,Looker,3.336977311
Business Software Generalists,Advanced Analytics,Microsoft Excel,1.648811189
Business Software Generalists,Advanced Analytics,Microsoft Power BI,3.850360999
Business Software Generalists,Advanced Analytics,Oracle Analytics Cloud,10
Business Software Generalists,Advanced Analytics,SAP Analytics Cloud,5.961665739
Business Software Generalists,Advanced Analytics,SAP BO BI,1.239553825
Business Software Generalists,Advanced Analytics,Serviceware Perf.,2.24267337
Business Software Generalists,Advanced Analytics,Tableau,5.86939176
Business Software Generalists,Advanced Analytics,Zoho Analytics,8.160228411
Business Software Generalists,Advanced Analytics,Peer Group Average,4.635877771
Business Software Generalists,Functionality,IBM Cog. Analytics,4.96511724
Business Software Generalists,Functionality,IBM Plan. Analytics,6.060409016
Business Software Generalists,Functionality,InfoZoom,8.003116743
Business Software Generalists,Functionality,Logi Analytics ,6.285475455
Business Software Generalists,Functionality,Looker,5.625654237
Business Software Generalists,Functionality,Microsoft Excel,1.969099349
Business Software Generalists,Functionality,Microsoft Power BI,6.131627067
Business Software Generalists,Functionality,Oracle Analytics Cloud,7.879150683
Business Software Generalists,Functionality,SAP Analytics Cloud,5.462195372
Business Software Generalists,Functionality,SAP BO BI,3.690890922
Business Software Generalists,Functionality,Serviceware Perf.,5.301909103
Business Software Generalists,Functionality,Tableau,6.771823382
Business Software Generalists,Functionality,Zoho Analytics,7.378056902
Business Software Generalists,Functionality,Peer Group Average,5.809578882
Business Software Generalists,Self-Service,IBM Cog. Analytics,4.180462602
Business Software Generalists,Self-Service,IBM Plan. Analytics,6.546371423
Business Software Generalists,Self-Service,InfoZoom,9.363207814
Business Software Generalists,Self-Service,Logi Analytics ,4.086735515
Business Software Generalists,Self-Service,Looker,4.351811075
Business Software Generalists,Self-Service,Microsoft Excel,3.672665727
Business Software Generalists,Self-Service,Microsoft Power BI,5.789695418
Business Software Generalists,Self-Service,Oracle Analytics Cloud,3.116172206
Business Software Generalists,Self-Service,SAP Analytics Cloud,2.873146147
Business Software Generalists,Self-Service,SAP BO BI,2.760791139
Business Software Generalists,Self-Service,Serviceware Perf.,6.015490664
Business Software Generalists,Self-Service,Tableau,8.126843311
Business Software Generalists,Self-Service,Zoho Analytics,1
Business Software Generalists,Self-Service,Peer Group Average,4.760261003
Business Software Generalists,Ease of Use,IBM Cog. Analytics,1
Business Software Generalists,Ease of Use,IBM Plan. Analytics,1.793466466
Business Software Generalists,Ease of Use,InfoZoom,3.116847738
Business Software Generalists,Ease of Use,Logi Analytics ,5.930449893
Business Software Generalists,Ease of Use,Looker,5.771962195
Business Software Generalists,Ease of Use,Microsoft Excel,3.553948889
Business Software Generalists,Ease of Use,Microsoft Power BI,4.636542721
Business Software Generalists,Ease of Use,Oracle Analytics Cloud,3.843595848
Business Software Generalists,Ease of Use,SAP Analytics Cloud,2.402040681
Business Software Generalists,Ease of Use,SAP BO BI,2.898240683
Business Software Generalists,Ease of Use,Serviceware Perf.,7.925911897
Business Software Generalists,Ease of Use,Tableau,7.80916517
Business Software Generalists,Ease of Use,Zoho Analytics,3.817677383
Business Software Generalists,Ease of Use,Peer Group Average,4.19229612
Business Software Generalists,Flexibility,IBM Cog. Analytics,2.050979493
Business Software Generalists,Flexibility,IBM Plan. Analytics,10
Business Software Generalists,Flexibility,InfoZoom,5.58403379
Business Software Generalists,Flexibility,Logi Analytics ,6.461039602
Business Software Generalists,Flexibility,Looker,8.84574088
Business Software Generalists,Flexibility,Microsoft Excel,6.661095182
Business Software Generalists,Flexibility,Microsoft Power BI,3.926693445
Business Software Generalists,Flexibility,Oracle Analytics Cloud,3.516614204
Business Software Generalists,Flexibility,SAP Analytics Cloud,1
Business Software Generalists,Flexibility,SAP BO BI,1.506942081
Business Software Generalists,Flexibility,Serviceware Perf.,8.371296979
Business Software Generalists,Flexibility,Tableau,4.127514097
Business Software Generalists,Flexibility,Zoho Analytics,3.172388258
Business Software Generalists,Flexibility,Peer Group Average,5.01725677
Business Software Generalists,Query Performance,IBM Cog. Analytics,3.598277608
Business Software Generalists,Query Performance,IBM Plan. Analytics,5.964917029
Business Software Generalists,Query Performance,InfoZoom,9.116044519
Business Software Generalists,Query Performance,Logi Analytics ,4.168520164
Business Software Generalists,Query Performance,Looker,3.188023249
Business Software Generalists,Query Performance,Microsoft Excel,1.983959267
Business Software Generalists,Query Performance,Microsoft Power BI,4.344386474
Business Software Generalists,Query Performance,Oracle Analytics Cloud,1
Business Software Generalists,Query Performance,SAP Analytics Cloud,6.65551914
Business Software Generalists,Query Performance,SAP BO BI,6.10538758
Business Software Generalists,Query Performance,Serviceware Perf.,10
Business Software Generalists,Query Performance,Tableau,4.175101406
Business Software Generalists,Query Performance,Zoho Analytics,3.559752922
Business Software Generalists,Query Performance,Peer Group Average,4.912299181
Business Software Generalists,Performance Satisfaction,IBM Cog. Analytics,4.96
Business Software Generalists,Performance Satisfaction,IBM Plan. Analytics,9.4
Business Software Generalists,Performance Satisfaction,InfoZoom,10
Business Software Generalists,Performance Satisfaction,Logi Analytics ,5.371428571
Business Software Generalists,Performance Satisfaction,Looker,1
Business Software Generalists,Performance Satisfaction,Microsoft Excel,4.082191781
Business Software Generalists,Performance Satisfaction,Microsoft Power BI,7.035294118
Business Software Generalists,Performance Satisfaction,Oracle Analytics Cloud,4.786206897
Business Software Generalists,Performance Satisfaction,SAP Analytics Cloud,5.863829787
Business Software Generalists,Performance Satisfaction,SAP BO BI,5.68
Business Software Generalists,Performance Satisfaction,Serviceware Perf.,7.408
Business Software Generalists,Performance Satisfaction,Tableau,6.2875
Business Software Generalists,Performance Satisfaction,Zoho Analytics,5.042622951
Business Software Generalists,Performance Satisfaction,Peer Group Average,5.916698008
Business Software Generalists,Sales Experience,IBM Cog. Analytics,3.075168734
Business Software Generalists,Sales Experience,IBM Plan. Analytics,7.007978888
Business Software Generalists,Sales Experience,InfoZoom,7.18968488
Business Software Generalists,Sales Experience,Logi Analytics ,5.978222997
Business Software Generalists,Sales Experience,Looker,7.819695983
Business Software Generalists,Sales Experience,Microsoft Excel,1.337711069
Business Software Generalists,Sales Experience,Microsoft Power BI,4.813320826
Business Software Generalists,Sales Experience,Oracle Analytics Cloud,5.832793848
Business Software Generalists,Sales Experience,SAP Analytics Cloud,3.721650566
Business Software Generalists,Sales Experience,SAP BO BI,1
Business Software Generalists,Sales Experience,Serviceware Perf.,7.745054945
Business Software Generalists,Sales Experience,Tableau,4.251330551
Business Software Generalists,Sales Experience,Zoho Analytics,4.508136463
Business Software Generalists,Sales Experience,Peer Group Average,4.944673058
Business Software Generalists,Customer Experience,IBM Cog. Analytics,3.145080787
Business Software Generalists,Customer Experience,IBM Plan. Analytics,6.997220011
Business Software Generalists,Customer Experience,InfoZoom,7.422861093
Business Software Generalists,Customer Experience,Logi Analytics ,5.274026585
Business Software Generalists,Customer Experience,Looker,5.179409441
Business Software Generalists,Customer Experience,Microsoft Excel,3.967630282
Business Software Generalists,Customer Experience,Microsoft Power BI,5.076533388
Business Software Generalists,Customer Experience,Oracle Analytics Cloud,3.460827582
Business Software Generalists,Customer Experience,SAP Analytics Cloud,3.475682171
Business Software Generalists,Customer Experience,SAP BO BI,3.320804322
Business Software Generalists,Customer Experience,Serviceware Perf.,7.813326282
Business Software Generalists,Customer Experience,Tableau,5.965995071
Business Software Generalists,Customer Experience,Zoho Analytics,3.22041598
Business Software Generalists,Customer Experience,Peer Group Average,4.947677923
Business Software Generalists,Cloud BI,IBM Cog. Analytics,7.707608696
Business Software Generalists,Cloud BI,IBM Plan. Analytics,2.122122762
Business Software Generalists,Cloud BI,InfoZoom,3.282608696
Business Software Generalists,Cloud BI,Logi Analytics ,5.06899811
Business Software Generalists,Cloud BI,Looker,9.39673913
Business Software Generalists,Cloud BI,Microsoft Excel,2.428035982
Business Software Generalists,Cloud BI,Microsoft Power BI,8.85016049
Business Software Generalists,Cloud BI,Oracle Analytics Cloud,7.948913043
Business Software Generalists,Cloud BI,SAP Analytics Cloud,8.0256917
Business Software Generalists,Cloud BI,SAP BO BI,1.290421196
Business Software Generalists,Cloud BI,Serviceware Perf.,1.275919732
Business Software Generalists,Cloud BI,Tableau,6.380434783
Business Software Generalists,Cloud BI,Zoho Analytics,6.687177598
Business Software Generalists,Cloud BI,Peer Group Average,5.420371686
Business Software Generalists,Data Preparation,IBM Cog. Analytics,2.91988417
Business Software Generalists,Data Preparation,IBM Plan. Analytics,5.304054054
Business Software Generalists,Data Preparation,InfoZoom,10
Business Software Generalists,Data Preparation,Logi Analytics ,4.864864865
Business Software Generalists,Data Preparation,Looker,1
Business Software Generalists,Data Preparation,Microsoft Excel,6.681172698
Business Software Generalists,Data Preparation,Microsoft Power BI,8.288783784
Business Software Generalists,Data Preparation,Oracle Analytics Cloud,4.049227799
Business Software Generalists,Data Preparation,SAP Analytics Cloud,2.054054054
Business Software Generalists,Data Preparation,SAP BO BI,1.663034002
Business Software Generalists,Data Preparation,Serviceware Perf.,7.180589681
Business Software Generalists,Data Preparation,Tableau,4.217638691
Business Software Generalists,Data Preparation,Zoho Analytics,2.19944082
Business Software Generalists,Data Preparation,Peer Group Average,4.647903432
Business Software Generalists,Visual Analysis,IBM Cog. Analytics,4.533057851
Business Software Generalists,Visual Analysis,IBM Plan. Analytics,4.991046832
Business Software Generalists,Visual Analysis,InfoZoom,8.004132231
Business Software Generalists,Visual Analysis,Logi Analytics ,7.703750795
Business Software Generalists,Visual Analysis,Looker,5.082644628
Business Software Generalists,Visual Analysis,Microsoft Excel,2.074380165
Business Software Generalists,Visual Analysis,Microsoft Power BI,5.334538567
Business Software Generalists,Visual Analysis,Oracle Analytics Cloud,1
Business Software Generalists,Visual Analysis,SAP Analytics Cloud,3.656057675
Business Software Generalists,Visual Analysis,SAP BO BI,5.064916022
Business Software Generalists,Visual Analysis,Serviceware Perf.,2.472107438
Business Software Generalists,Visual Analysis,Tableau,9.982350469
Business Software Generalists,Visual Analysis,Zoho Analytics,3.708677686
Business Software Generalists,Visual Analysis,Peer Group Average,4.892896951
Business Software Generalists,Visual Design Standards,IBM Cog. Analytics,4.252299606
Business Software Generalists,Visual Design Standards,IBM Plan. Analytics,8.095926413
Business Software Generalists,Visual Design Standards,InfoZoom,3.128777924
Business Software Generalists,Visual Design Standards,Logi Analytics ,3.956636005
Business Software Generalists,Visual Design Standards,Looker,4.547963206
Business Software Generalists,Visual Design Standards,Microsoft Excel,2.98786591
Business Software Generalists,Visual Design Standards,Microsoft Power BI,6.913272011
Business Software Generalists,Visual Design Standards,Oracle Analytics Cloud,8.848524668
Business Software Generalists,Visual Design Standards,SAP Analytics Cloud,9.751642576
Business Software Generalists,Visual Design Standards,SAP BO BI,4.94218134
Business Software Generalists,Visual Design Standards,Serviceware Perf.,4.200123676
Business Software Generalists,Visual Design Standards,Tableau,6.836142376
Business Software Generalists,Visual Design Standards,Zoho Analytics,5.101546118
Business Software Generalists,Visual Design Standards,Peer Group Average,5.658684756
Business Software Generalists,Location Intelligence,IBM Cog. Analytics,5.095808383
Business Software Generalists,Location Intelligence,IBM Plan. Analytics,4.683691441
Business Software Generalists,Location Intelligence,InfoZoom,2.215568862
Business Software Generalists,Location Intelligence,Logi Analytics ,1
Business Software Generalists,Location Intelligence,Looker,6.931860417
Business Software Generalists,Location Intelligence,Microsoft Excel,2.344365814
Business Software Generalists,Location Intelligence,Microsoft Power BI,3.820235391
Business Software Generalists,Location Intelligence,Oracle Analytics Cloud,3.694610778
Business Software Generalists,Location Intelligence,SAP Analytics Cloud,6.586444133
Business Software Generalists,Location Intelligence,SAP BO BI,1.1534558
Business Software Generalists,Location Intelligence,Serviceware Perf.,2.508982036
Business Software Generalists,Location Intelligence,Tableau,10
Business Software Generalists,Location Intelligence,Zoho Analytics,3.123752495
Business Software Generalists,Location Intelligence,Peer Group Average,4.089136581
Business Software Generalists,Mobile BI,IBM Cog. Analytics,9.289270386
Business Software Generalists,Mobile BI,IBM Plan. Analytics,3.78111588
Business Software Generalists,Mobile BI,InfoZoom,2.840444332
Business Software Generalists,Mobile BI,Logi Analytics ,2.545064378
Business Software Generalists,Mobile BI,Looker,3.903655468
Business Software Generalists,Mobile BI,Microsoft Excel,2.335564123
Business Software Generalists,Mobile BI,Microsoft Power BI,7.754291845
Business Software Generalists,Mobile BI,Oracle Analytics Cloud,8.477007971
Business Software Generalists,Mobile BI,SAP Analytics Cloud,7.9527897
Business Software Generalists,Mobile BI,SAP BO BI,1
Business Software Generalists,Mobile BI,Serviceware Perf.,3.644437108
Business Software Generalists,Mobile BI,Tableau,4.034947885
Business Software Generalists,Mobile BI,Zoho Analytics,5.045973667
Business Software Generalists,Mobile BI,Peer Group Average,4.815735596
Business Software Generalists,Operational BI,IBM Cog. Analytics,4.486341245
Business Software Generalists,Operational BI,IBM Plan. Analytics,2.763322884
Business Software Generalists,Operational BI,InfoZoom,9.678369906
Business Software Generalists,Operational BI,Logi Analytics ,5.635020152
Business Software Generalists,Operational BI,Looker,7.615501027
Business Software Generalists,Operational BI,Microsoft Excel,1
Business Software Generalists,Operational BI,Microsoft Power BI,2.980640515
Business Software Generalists,Operational BI,Oracle Analytics Cloud,7.932377967
Business Software Generalists,Operational BI,SAP Analytics Cloud,6.612619222
Business Software Generalists,Operational BI,SAP BO BI,5.175548589
Business Software Generalists,Operational BI,Serviceware Perf.,2.602507837
Business Software Generalists,Operational BI,Tableau,5.922189879
Business Software Generalists,Operational BI,Zoho Analytics,5.333727324
Business Software Generalists,Operational BI,Peer Group Average,5.210628196
Business Software Generalists,Innovation,IBM Cog. Analytics,5.387586152
Business Software Generalists,Innovation,IBM Plan. Analytics,4.534468609
Business Software Generalists,Innovation,InfoZoom,5.592843136
Business Software Generalists,Innovation,Logi Analytics ,5.096791788
Business Software Generalists,Innovation,Looker,5.877666002
Business Software Generalists,Innovation,Microsoft Excel,2.835912099
Business Software Generalists,Innovation,Microsoft Power BI,5.946010854
Business Software Generalists,Innovation,Oracle Analytics Cloud,6.474198001
Business Software Generalists,Innovation,SAP Analytics Cloud,6.377042723
Business Software Generalists,Innovation,SAP BO BI,2.898508136
Business Software Generalists,Innovation,Serviceware Perf.,3.412095358
Business Software Generalists,Innovation,Tableau,6.640833097
Business Software Generalists,Innovation,Zoho Analytics,4.702007052
Business Software Generalists,Innovation,Peer Group Average,5.059689462
Business Software Generalists,Considered for Purchase,IBM Cog. Analytics,5.839001994
Business Software Generalists,Considered for Purchase,IBM Plan. Analytics,3.636984232
Business Software Generalists,Considered for Purchase,InfoZoom,1.353410258
Business Software Generalists,Considered for Purchase,Logi Analytics ,1.380595662
Business Software Generalists,Considered for Purchase,Looker,3.310759379
Business Software Generalists,Considered for Purchase,Microsoft Excel,9.843656739
Business Software Generalists,Considered for Purchase,Microsoft Power BI,10
Business Software Generalists,Considered for Purchase,Oracle Analytics Cloud,2.332084818
Business Software Generalists,Considered for Purchase,SAP Analytics Cloud,5.730260376
Business Software Generalists,Considered for Purchase,SAP BO BI,8.611913248
Business Software Generalists,Considered for Purchase,Serviceware Perf.,1.598078898
Business Software Generalists,Considered for Purchase,Tableau,9.921828369
Business Software Generalists,Considered for Purchase,Zoho Analytics,1.24466864
Business Software Generalists,Considered for Purchase,Peer Group Average,4.984864817
Business Software Generalists,Competitive Win Rate,IBM Cog. Analytics,1
Business Software Generalists,Competitive Win Rate,IBM Plan. Analytics,6.020855057
Business Software Generalists,Competitive Win Rate,InfoZoom,7.059854015
Business Software Generalists,Competitive Win Rate,Logi Analytics ,9.63789781
Business Software Generalists,Competitive Win Rate,Looker,2.18540146
Business Software Generalists,Competitive Win Rate,Microsoft Excel,5.260324935
Business Software Generalists,Competitive Win Rate,Microsoft Power BI,4.623006483
Business Software Generalists,Competitive Win Rate,Oracle Analytics Cloud,4.446605839
Business Software Generalists,Competitive Win Rate,SAP Analytics Cloud,6.009869688
Business Software Generalists,Competitive Win Rate,SAP BO BI,5.46275648
Business Software Generalists,Competitive Win Rate,Serviceware Perf.,8.01807973
Business Software Generalists,Competitive Win Rate,Tableau,1.86680979
Business Software Generalists,Competitive Win Rate,Zoho Analytics,6.602290461
Business Software Generalists,Competitive Win Rate,Peer Group Average,5.245673211
Business Software Generalists,Competitiveness,IBM Cog. Analytics,2.935600797
Business Software Generalists,Competitiveness,IBM Plan. Analytics,5.067306727
Business Software Generalists,Competitiveness,InfoZoom,4.777276512
Business Software Generalists,Competitiveness,Logi Analytics ,6.334976951
Business Software Generalists,Competitiveness,Looker,2.635544627
Business Software Generalists,Competitiveness,Microsoft Excel,7.093657657
Business Software Generalists,Competitiveness,Microsoft Power BI,6.77380389
Business Software Generalists,Competitiveness,Oracle Analytics Cloud,3.600797431
Business Software Generalists,Competitiveness,SAP Analytics Cloud,5.898025963
Business Software Generalists,Competitiveness,SAP BO BI,6.722419187
Business Software Generalists,Competitiveness,Serviceware Perf.,5.450079398
Business Software Generalists,Competitiveness,Tableau,5.088817222
Business Software Generalists,Competitiveness,Zoho Analytics,4.459241732
Business Software Generalists,Competitiveness,Peer Group Average,5.141349853
International BI Giants,Business Benefits,IBM Cog. Analytics,4.208901753
International BI Giants,Business Benefits,IBM Plan. Analytics,8.403236138
International BI Giants,Business Benefits,Looker,9.282630667
International BI Giants,Business Benefits,Microsoft Excel,1
International BI Giants,Business Benefits,Microsoft Power BI,4.657367998
International BI Giants,Business Benefits,MicroStrategy,9.036133716
International BI Giants,Business Benefits,Oracle Analytics Cloud,8.504890287
International BI Giants,Business Benefits,Qlik Sense,6.667829674
International BI Giants,Business Benefits,QlikView,5.916999217
International BI Giants,Business Benefits,SAP Analytics Cloud,3.515105062
International BI Giants,Business Benefits,SAP BO BI,1.348905075
International BI Giants,Business Benefits,Tableau,4.50169353
International BI Giants,Business Benefits,Peer Group Average,5.586974426
International BI Giants,Project Success,IBM Cog. Analytics,1
International BI Giants,Project Success,IBM Plan. Analytics,8.739323509
International BI Giants,Project Success,Looker,4.438600813
International BI Giants,Project Success,Microsoft Excel,2.983727764
International BI Giants,Project Success,Microsoft Power BI,5.100784273
International BI Giants,Project Success,MicroStrategy,5.568710534
International BI Giants,Project Success,Oracle Analytics Cloud,4.658085971
International BI Giants,Project Success,Qlik Sense,5.379143742
International BI Giants,Project Success,QlikView,3.343535077
International BI Giants,Project Success,SAP Analytics Cloud,4.438600813
International BI Giants,Project Success,SAP BO BI,4.564545873
International BI Giants,Project Success,Tableau,4.580046804
International BI Giants,Project Success,Peer Group Average,4.566258764
International BI Giants,Project Length,IBM Cog. Analytics,1.724137931
International BI Giants,Project Length,IBM Plan. Analytics,1
International BI Giants,Project Length,Looker,9.236074271
International BI Giants,Project Length,Microsoft Excel,8.528735632
International BI Giants,Project Length,Microsoft Power BI,4.268824771
International BI Giants,Project Length,MicroStrategy,2.965517241
International BI Giants,Project Length,Oracle Analytics Cloud,1.838287753
International BI Giants,Project Length,Qlik Sense,6.596667958
International BI Giants,Project Length,QlikView,4.035133377
International BI Giants,Project Length,SAP Analytics Cloud,3.931034483
International BI Giants,Project Length,SAP BO BI,5.197286603
International BI Giants,Project Length,Tableau,4.850574713
International BI Giants,Project Length,Peer Group Average,4.514356228
International BI Giants,Business Value,IBM Cog. Analytics,2.725140532
International BI Giants,Business Value,IBM Plan. Analytics,7.281392572
International BI Giants,Business Value,Looker,7.66019465
International BI Giants,Business Value,Microsoft Excel,2.91603186
International BI Giants,Business Value,Microsoft Power BI,4.740416218
International BI Giants,Business Value,MicroStrategy,6.868556576
International BI Giants,Business Value,Oracle Analytics Cloud,6.111521759
International BI Giants,Business Value,Qlik Sense,6.226407411
International BI Giants,Business Value,QlikView,4.74553353
International BI Giants,Business Value,SAP Analytics Cloud,3.892258549
International BI Giants,Business Value,SAP BO BI,3.062182262
International BI Giants,Business Value,Tableau,4.585958152
International BI Giants,Business Value,Peer Group Average,5.067966173
International BI Giants,Price to Value,IBM Cog. Analytics,1
International BI Giants,Price to Value,IBM Plan. Analytics,5.579881657
International BI Giants,Price to Value,Looker,5.846153846
International BI Giants,Price to Value,Microsoft Excel,6.911242604
International BI Giants,Price to Value,Microsoft Power BI,6.89972813
International BI Giants,Price to Value,MicroStrategy,6.145336081
International BI Giants,Price to Value,Oracle Analytics Cloud,7.592899408
International BI Giants,Price to Value,Qlik Sense,5.615197758
International BI Giants,Price to Value,QlikView,5.521021489
International BI Giants,Price to Value,SAP Analytics Cloud,2.953846154
International BI Giants,Price to Value,SAP BO BI,2.775421029
International BI Giants,Price to Value,Tableau,2.125443787
International BI Giants,Price to Value,Peer Group Average,4.913847662
International BI Giants,Recommendation,IBM Cog. Analytics,1.751376147
International BI Giants,Recommendation,IBM Plan. Analytics,7.440366972
International BI Giants,Recommendation,Looker,7.929357798
International BI Giants,Recommendation,Microsoft Excel,1
International BI Giants,Recommendation,Microsoft Power BI,4.604649838
International BI Giants,Recommendation,MicroStrategy,5.402001668
International BI Giants,Recommendation,Oracle Analytics Cloud,5.996836444
International BI Giants,Recommendation,Qlik Sense,5.956556935
International BI Giants,Recommendation,QlikView,2.871559633
International BI Giants,Recommendation,SAP Analytics Cloud,2.913124883
International BI Giants,Recommendation,SAP BO BI,1.853211009
International BI Giants,Recommendation,Tableau,2.126797207
International BI Giants,Recommendation,Peer Group Average,4.153819878
International BI Giants,Vendor Support,IBM Cog. Analytics,1
International BI Giants,Vendor Support,IBM Plan. Analytics,3.469947525
International BI Giants,Vendor Support,Looker,9.225562737
International BI Giants,Vendor Support,Microsoft Excel,1.651606864
International BI Giants,Vendor Support,Microsoft Power BI,3.967907288
International BI Giants,Vendor Support,MicroStrategy,6.546112425
International BI Giants,Vendor Support,Oracle Analytics Cloud,7.606284823
International BI Giants,Vendor Support,Qlik Sense,3.560588924
International BI Giants,Vendor Support,QlikView,3.631586675
International BI Giants,Vendor Support,SAP Analytics Cloud,3.737371793
International BI Giants,Vendor Support,SAP BO BI,1.582304435
International BI Giants,Vendor Support,Tableau,4.316904202
International BI Giants,Vendor Support,Peer Group Average,4.191348141
International BI Giants,Implementer Support,IBM Cog. Analytics,3.419532325
